id;fecha_echo;sexo;edad;estado_civil;modalidad_id;barrio_id;bien_id;color_id;lugar_id;grupo_bien_id;sede_receptora_id;arma_medio_id
DEFAULT;2017-01-01T13:51:00.000-05:00;Mujer;38;Casado(a);7;168;54;12;4;1;6;7
DEFAULT;2017-01-01T13:51:00.000-05:00;Mujer;38;Casado(a);13;5;76;6;2;4;16;2
DEFAULT;2017-01-01T13:51:00.000-05:00;Mujer;38;Casado(a);12;8;4;8;9;2;12;6
DEFAULT;2017-01-01T00:00:00.000-05:00;Hombre;62;Soltero(a);4;114;5;1;6;4;14;6
DEFAULT;2017-01-01T00:00:00.000-05:00;Mujer;53;Soltero(a);10;184;90;11;8;1;4;8
DEFAULT;2017-01-01T22:00:00.000-05:00;Hombre;21;Soltero(a);2;214;66;10;10;2;15;5
DEFAULT;2017-01-02T10:00:00.000-05:00;Mujer;43;Soltero(a);9;212;89;7;8;3;12;3
DEFAULT;2017-01-02T10:00:00.000-05:00;Mujer;43;Soltero(a);12;118;37;1;9;2;12;3
DEFAULT;2017-01-02T00:00:00.000-05:00;Hombre;53;Soltero(a);13;178;20;8;12;3;7;6
DEFAULT;2017-01-02T10:00:00.000-05:00;Mujer;43;Soltero(a);11;136;108;3;9;1;4;1
DEFAULT;2017-01-02T10:00:00.000-05:00;Mujer;43;Soltero(a);5;174;16;5;11;2;9;4
DEFAULT;2017-01-02T07:00:00.000-05:00;Hombre;48;Soltero(a);12;161;95;12;3;5;5;2
DEFAULT;2017-01-02T10:00:00.000-05:00;Mujer;43;Soltero(a);7;55;7;9;5;3;3;5
DEFAULT;2017-01-02T10:00:00.000-05:00;Mujer;43;Soltero(a);12;176;101;2;1;3;6;1
DEFAULT;2017-01-02T03:30:00.000-05:00;Mujer;80;Viudo(a);12;131;74;2;6;2;3;2
DEFAULT;2017-01-02T00:00:00.000-05:00;Mujer;61;Casado(a);5;35;75;8;10;3;3;3
DEFAULT;2017-01-02T07:00:00.000-05:00;Hombre;48;Soltero(a);5;54;19;11;2;1;13;4
DEFAULT;2017-01-02T11:00:00.000-05:00;Hombre;28;Uni? marital de hecho;1;121;113;8;1;2;3;2
DEFAULT;2017-01-02T03:30:00.000-05:00;Mujer;80;Viudo(a);8;35;118;8;6;2;4;4
DEFAULT;2017-01-02T03:00:00.000-05:00;Hombre;36;Soltero(a);14;170;31;3;5;3;6;8
DEFAULT;2017-01-02T03:00:00.000-05:00;Hombre;32;Soltero(a);2;70;14;8;6;3;15;5
DEFAULT;2017-01-03T08:00:00.000-05:00;Hombre;69;Soltero(a);6;215;19;3;11;2;8;6
DEFAULT;2017-01-03T01:17:00.000-05:00;Hombre;59;Casado(a);1;119;38;7;6;2;4;2
DEFAULT;2017-01-03T01:17:00.000-05:00;Hombre;59;Casado(a);3;98;75;12;3;2;12;5
DEFAULT;2017-01-03T01:17:00.000-05:00;Hombre;59;Casado(a);8;97;28;9;6;3;11;7
DEFAULT;2017-01-03T13:32:00.000-05:00;Hombre;39;Soltero(a);7;67;23;4;1;1;6;4
DEFAULT;2017-01-03T13:32:00.000-05:00;Hombre;39;Soltero(a);6;25;109;10;4;3;10;7
DEFAULT;2017-01-04T22:00:00.000-05:00;Hombre;24;Soltero(a);11;150;75;1;12;4;11;1
DEFAULT;2017-01-04T22:00:00.000-05:00;Hombre;24;Soltero(a);2;93;49;3;9;3;11;3
DEFAULT;2017-01-04T16:00:00.000-05:00;Mujer;50;Casado(a);7;113;96;4;9;4;6;4
DEFAULT;2017-01-04T16:00:00.000-05:00;Mujer;50;Casado(a);14;139;59;4;8;1;11;3
DEFAULT;2017-01-04T22:00:00.000-05:00;Hombre;24;Soltero(a);4;9;73;2;3;1;15;3
DEFAULT;2017-01-04T00:00:00.000-05:00;Mujer;36;Casado(a);2;44;91;3;9;2;3;3
